Review,Sentiment
อร่อยแสงออกปากกกก! 🌟🌟🌟 คุ้มค่าที่รอคอย,1
เค็มจนไตสั่น กินน้ำตาม 3 ลิตร ไม่ไหวจริง,0
เฉยๆ อะ พนง. บริการแย่มากกก,0
ดีงามพระรามแปด คุ้มค่าสุดๆ มาซ้ำแน่นอน,1
รอนานจนลูกบวช ห่วยแตก สกปรก,0
รสชาติกลมกล่อม บริการประทับใจจจจ ❤️,1
แพงแต่ไม่อร่อย เสียดายตังค์สุดๆ,0
ร้านสวยมาก ถ่ายรูปปัง รสชาติจึ้งสุด,1
หมูเหนียวเหมือนเคี้ยวหนังยาง ผิดหวังครับ,0
นัวมากแม่ ปลาร้าคือที่สุดดดดด 🐟,1
แมลงสาบวิ่งเล่นในร้าน บายจ้าาา,0
คุ้มค่าเงินที่จ่ายไป แนะนำเลยร้านนี้,1
พนักงานหน้าบูดเหมือนไปขอกินฟรี,0
ไก่ทอดกรอบนอกนุ่มใน ฟินระดับสิบ,1
จืดสนิทเหมือนลืมใส่น้ำปลา แย่ๆ,0
บรรยากาศดี เพลงเพราะ อาหารอร่อย 10/10,1
ให้น้อยเหมือนให้ชิม ไม่อิ่มเลยยย,0
วัตถุดิบพรีเมียม สดใหม่มาก ชอบบ,1
กลิ่นเหม็นอับในร้าน ทำให้อาหารไม่อร่อย,0
เจ้าของร้านใจดี แถมขนมหวานให้ด้วย ✨,1
รออาหารชั่วโมงครึ่ง โมโหหิวมาก,0
ซุปหอมละมุนลิ้น กินแล้วหยุดไม่ได้,1
น้ำจิ้มเปรี้ยวโดด ไม่กลมกล่อมเลย,0
เครื่องเทศถึงใจ จัดจ้านในย่านนี้,1
จานชามไม่สะอาด มีคราบมันติดอยู่,0
